"filename", "language", "WLA-DX", "Batch", "Lua", "comment", "blank", "total"
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\levels\main.lua", "Lua", 0, 0, 443, 233, 107, 783
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\automaticMove.asm", "WLA-DX", 62, 0, 0, 5, 18, 85
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\constante.asm", "WLA-DX", 24, 0, 0, 1, 1, 26
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\dataGFX.asm", "WLA-DX", 18, 0, 0, 0, 2, 20
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\dataLevels.asm", "WLA-DX", 4, 0, 0, 0, 2, 6
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\ghost.asm", "WLA-DX", 352, 0, 0, 26, 78, 456
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\key.asm", "WLA-DX", 94, 0, 0, 14, 16, 124
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\keyManager.asm", "WLA-DX", 118, 0, 0, 29, 29, 176
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\levelManager\level.asm", "WLA-DX", 288, 0, 0, 25, 71, 384
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\main.asm", "WLA-DX", 227, 0, 0, 19, 57, 303
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\math.asm", "WLA-DX", 12, 0, 0, 3, 3, 18
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sceneManager\sceneManager.asm", "WLA-DX", 30, 0, 0, 5, 10, 45
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sceneManager\scenes\sceneGame.asm", "WLA-DX", 333, 0, 0, 29, 55, 417
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sceneManager\scenes\sceneGameOver.asm", "WLA-DX", 29, 0, 0, 7, 7, 43
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sceneManager\scenes\sceneMenu.asm", "WLA-DX", 17, 0, 0, 3, 3, 23
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sceneManager\scenes\sceneNextLevel.asm", "WLA-DX", 29, 0, 0, 4, 6, 39
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\sprite.asm", "WLA-DX", 157, 0, 0, 81, 41, 279
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\updateKey.asm", "WLA-DX", 135, 0, 0, 8, 30, 173
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sources\utils.asm", "WLA-DX", 47, 0, 0, 19, 22, 88
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\sprites\main.lua", "Lua", 0, 0, 121, 12, 22, 155
"c:\Users\stephane\Documents\Programmation\Alice\projets\GameJam-Alice\start.bat", "Batch", 0, 1, 0, 1, 1, 3
"Total", "-", 1976, 1, 564, 524, 581, 3646